# beardifier compute golden (BeardProbe)
# affected -54 -84 -54 82 36 71
-70 -38 84 0000000000000000
-70 -38 91 0000000000000000
-70 -38 98 0000000000000000
-70 -35 -70 0000000000000000
-70 -35 -63 0000000000000000
-70 -35 -56 0000000000000000
-70 -35 -49 0000000000000000
-70 -35 -42 0000000000000000
-70 -35 -35 0000000000000000
-70 -35 -28 0000000000000000
-70 -35 -21 0000000000000000
-70 -35 -14 0000000000000000
-70 -35 -7 0000000000000000
-70 -35 0 0000000000000000
-70 -35 7 0000000000000000
-70 -35 14 0000000000000000
-70 -35 21 0000000000000000
-70 -35 28 0000000000000000
-70 -35 35 0000000000000000
-70 -35 42 0000000000000000
-70 -35 49 0000000000000000
-70 -35 56 0000000000000000
-70 -35 63 0000000000000000
-70 -35 70 0000000000000000
-70 -35 77 0000000000000000
-70 -35 84 0000000000000000
-70 -35 91 0000000000000000
-70 -35 98 0000000000000000
-70 -32 -70 0000000000000000
-70 -32 -63 0000000000000000
-70 -32 -56 0000000000000000
-70 -32 -49 0000000000000000
-70 -32 -42 0000000000000000
-70 -32 -35 0000000000000000
-70 -32 -28 0000000000000000
-70 -32 -21 0000000000000000
-70 -32 -14 0000000000000000
-70 -32 -7 0000000000000000
-70 -32 0 0000000000000000
-70 -32 7 0000000000000000
-70 -32 14 0000000000000000
-70 -32 21 0000000000000000
-70 -32 28 0000000000000000
-70 -32 35 0000000000000000
-70 -32 42 0000000000000000
-70 -32 49 0000000000000000
-70 -32 56 0000000000000000
-70 -32 63 0000000000000000
-70 -32 70 0000000000000000
-70 -32 77 0000000000000000
-70 -32 84 0000000000000000
-70 -32 91 0000000000000000
-70 -32 98 0000000000000000
-70 -29 -70 0000000000000000
-70 -29 -63 0000000000000000
-70 -29 -56 0000000000000000
-70 -29 -49 0000000000000000
-70 -29 -42 0000000000000000
-70 -29 -35 0000000000000000
-70 -29 -28 0000000000000000
-70 -29 -21 0000000000000000
-70 -29 -14 0000000000000000
-70 -29 -7 0000000000000000
-70 -29 0 0000000000000000
-70 -29 7 0000000000000000
-70 -29 14 0000000000000000
-70 -29 21 0000000000000000
-70 -29 28 0000000000000000
-70 -29 35 0000000000000000
-70 -29 42 0000000000000000
-70 -29 49 0000000000000000
-70 -29 56 0000000000000000
-70 -29 63 0000000000000000
-70 -29 70 0000000000000000
-70 -29 77 0000000000000000
-70 -29 84 0000000000000000
-70 -29 91 0000000000000000
-70 -29 98 0000000000000000
-70 -26 -70 0000000000000000
-70 -26 -63 0000000000000000
-70 -26 -56 0000000000000000
-70 -26 -49 0000000000000000
-70 -26 -42 0000000000000000
-70 -26 -35 0000000000000000
-70 -26 -28 0000000000000000
-70 -26 -21 0000000000000000
-70 -26 -14 0000000000000000
-70 -26 -7 0000000000000000
